iter	Passed	Remaining
0	2	692
1	3	569
2	5	512
3	6	497
4	8	482
5	9	470
6	11	460
7	12	453
8	13	445
9	15	440
10	16	435
11	17	431
12	19	428
13	20	422
14	22	419
15	23	419
16	25	420
17	26	417
18	28	414
19	29	412
20	30	410
21	32	408
22	33	407
23	35	405
24	36	402
25	37	400
26	39	397
27	40	394
28	42	393
29	43	392
30	45	391
31	46	390
32	48	388
33	49	386
34	50	385
35	52	383
36	53	382
37	55	381
38	56	380
39	58	379
40	59	377
41	61	376
42	62	374
43	64	373
44	65	371
45	67	370
46	68	368
47	69	366
48	71	364
49	72	362
50	73	360
51	75	359
52	76	357
53	78	355
54	79	354
55	80	352
56	82	350
57	83	349
58	85	347
59	86	346
60	87	344
61	89	344
62	91	343
63	92	341
64	93	339
65	95	338
66	96	336
67	98	334
68	99	332
69	100	331
70	102	329
71	103	327
72	104	326
73	106	324
74	107	323
75	109	321
76	110	319
77	111	317
78	113	316
79	114	314
80	115	313
81	117	311
82	118	310
83	119	308
84	121	306
85	122	305
86	123	303
87	125	301
88	126	300
89	128	299
90	129	297
91	131	296
92	132	294
93	133	293
94	135	291
95	136	289
96	138	288
97	139	288
98	141	286
99	142	285
100	144	283
101	145	282
102	147	281
103	148	279
104	149	278
105	151	276
106	152	274
107	153	273
108	155	272
109	157	271
110	158	270
111	160	268
112	161	267
113	163	266
114	164	264
115	166	263
116	167	261
117	168	260
118	170	259
119	171	257
120	173	256
121	174	254
122	176	253
123	177	252
124	179	250
125	180	249
126	181	247
127	183	246
128	184	244
129	186	243
130	187	242
131	189	240
132	190	239
133	192	238
134	193	236
135	195	235
136	196	233
137	198	232
138	199	231
139	201	229
140	202	228
141	204	227
142	205	225
143	206	224
144	208	222
145	209	221
146	211	219
147	212	218
148	213	216
149	215	215
150	217	214
151	218	212
152	220	211
153	221	209
154	222	208
155	224	207
156	225	205
157	227	204
158	228	202
159	230	201
160	231	199
161	232	198
162	234	197
163	235	195
164	236	193
165	238	192
166	239	190
167	241	189
168	242	188
169	244	186
170	245	185
171	247	183
172	248	182
173	250	181
174	251	179
175	253	178
176	254	176
177	255	175
178	257	173
179	258	172
180	260	171
181	261	169
182	263	168
183	264	166
184	266	165
185	267	164
186	269	162
187	270	161
188	272	159
189	273	158
190	275	156
191	277	155
192	278	154
193	279	152
194	281	151
195	282	149
196	283	148
197	285	146
198	286	145
199	289	144
200	290	143
201	291	141
202	293	140
203	294	138
204	296	137
205	298	136
206	299	134
207	301	133
208	302	131
209	304	130
210	305	129
211	307	127
212	309	126
213	310	124
214	312	123
215	313	122
216	315	120
217	316	119
218	318	117
219	319	116
220	320	114
221	322	113
222	324	112
223	326	110
224	327	109
225	329	107
226	331	106
227	332	105
228	334	103
229	335	102
230	337	100
231	338	99
232	340	97
233	341	96
234	343	94
235	344	93
236	345	91
237	347	90
238	348	89
239	350	87
240	351	86
241	353	84
242	354	83
243	356	81
244	357	80
245	358	78
246	360	77
247	361	75
248	363	74
249	364	72
250	365	71
251	367	69
252	368	68
253	370	67
254	371	65
255	373	64
256	374	62
257	376	61
258	377	59
259	379	58
260	380	56
261	381	55
262	383	53
263	384	52
264	386	51
265	387	49
266	389	48
267	390	46
268	392	45
269	394	43
270	395	42
271	396	40
272	398	39
273	399	37
274	400	36
275	402	34
276	403	33
277	404	32
278	406	30
279	407	29
280	409	27
281	410	26
282	411	24
283	413	23
284	414	21
285	415	20
286	417	18
287	418	17
288	419	15
289	421	14
290	422	13
291	424	11
292	425	10
293	427	8
294	428	7
295	429	5
296	431	4
297	432	2
298	434	1
299	435	0
